Which country has won the most Copa America titles? A) Argentina B) Brazil C) Uruguay D) Chile	multiple choice
Who is the all-time top scorer of the UEFA Champions League? A) Messi B) Ronaldo C) Lewandowski D) Benzema	multiple choice
When did Barcelona complete their historic treble under Pep Guardiola? A) 2008-09 B) 2010-11 C) 2014-15 D) 2018-19	multiple choice
What year did Arsenal complete their 'Invincibles' Premier League season? A) 2002-03 B) 2003-04 C) 2004-05 D) 2001-02	multiple choice
Which country hosted Euro 2016? A) Germany B) France C) Italy D) Spain	multiple choice
Which player has the most appearances for the English national team? A) Rooney B) Shilton C) Beckham D) Kane	multiple choice
Which player scored a record 13 goals in a single World Cup tournament? A) Just Fontaine B) Pele C) Muller D) Klose	multiple choice
Which club did Cristiano Ronaldo join after leaving Manchester United in 2022? A) PSG B) Al Nassr C) Sporting CP D) Real Madrid	multiple choice
What is the maximum number of players allowed on a football pitch for one team during a match?	factoid
Who was the first player to score in five different World Cup tournaments?	factoid
What color card did the referee show Zinedine Zidane in the 2006 World Cup final?	factoid
Which club is known as 'The Gunners'?	factoid
Who holds the record for most goals scored in a single Premier League season?	factoid
List the three hosting nations of the 2026 FIFA World Cup.	list
Name all South American countries that have won the FIFA World Cup.	list
List the FIFA World Cup Golden Boot winners from 2010 to 2022.	list
Name all clubs that won the English Premier League before the year 2010.	list
List the four teams that make up the 'Old Firm' and other major derbies in Scottish football.	list
Explain the procedure for conducting the coin toss before a football match.	instruction
Describe the steps involved in applying the handball rule in the penalty area.	instruction
Outline how goal-line technology works in modern football.	instruction
Explain the process of a team appealing against a transfer ban.	instruction
Which player won the FIFA World Cup Golden Ball in 2014? A) Messi B) Müller C) Robben D) Neuer	multiple choice
Which country won the first UEFA European Championship in 1960? A) France B) Soviet Union C) Spain D) Italy	multiple choice
What is the nickname of the Brazilian national team? A) La Albiceleste B) Les Bleus C) Seleção D) Azzurri	multiple choice
Which stadium hosted the 2015 UEFA Champions League final? A) Wembley B) Olympic Stadium Berlin C) Allianz Arena D) San Siro	multiple choice
Who was the manager of Leicester City during their Premier League title win in 2015-16? A) Pearson B) Ranieri C) Rodgers D) Shakespeare	multiple choice
